2024-06-07 19:22:03,Mutlu,Evet,Evet,Ýyi,Ýyi,Evet,Evet
2024-06-08 14:34:28,Mutlu,Hayýr,Evet,Ýyi,Ýyi,Evet,Evet
2024-06-08 16:05:05,Mutlu,Evet,Evet,Ýyi,Ýyi,Evet,Evet
2024-06-12 18:38:33,Üzgün,Evet,Evet,Ýyi,Ýyi,Evet,Evet
2024-06-12 21:36:32,Mutlu,Evet,Evet,Orta,Ýyi,Evet,Evet
2024-06-12 22:20:11,Mutlu,Evet,Evet,Ýyi,Ýyi,Evet,Evet
2024-06-13 01:26:15,Ýðrenme,Hayýr,Evet,Ýyi,Ýyi,Evet,Evet
2024-06-13 07:48:11,Nötr,Evet,Evet,Ýyi,Orta,Evet,Evet
2024-06-13 08:43:50,Kýzgýn,Evet,Evet,Ýyi,Ýyi,Evet,Evet
2024-06-13 09:57:44,Mutlu,Evet,Hayýr,Orta,Orta,Hayýr,Evet
2024-06-13 11:26:30,Mutlu,Evet,Evet,Ýyi,Ýyi,Evet,Evet
2024-06-13 11:57:33,Mutlu,Evet,Evet,Ýyi,Ýyi,Evet,Evet
2024-06-14 12:42:32,Mutlu,Evet,Evet,Ýyi,Ýyi,Evet,Evet
2024-07-19 17:26:36,Kýzgýn,Evet,Evet,Ýyi,Ýyi,Evet,Evet
2024-09-15 11:05:31,Mutlu,Evet,Evet,Ýyi,Ýyi,Evet,Evet
