angry 2/disgust 1/fear 24/happy 51/neutral 179/sad 116/surprise 12/2024-01-18 16:40:25
angry 6/disgust 1/fear 33/happy 90/neutral 174/sad 151/surprise 55/2024-01-18 23:49:12
angry 38/disgust 1/fear 19/happy 103/neutral 275/sad 136/surprise 13/2024-01-19 00:17:42
angry 6/disgust 1/fear 6/happy 117/neutral 320/sad 89/surprise 5/2024-01-19 00:20:38
angry 33/disgust 1/fear 40/happy 129/neutral 261/sad 136/surprise 30/2024-01-19 00:25:25
angry 1/disgust 1/fear 17/happy 47/neutral 164/sad 5/surprise 2/2024-01-19 00:27:23
angry 1/disgust 1/fear 41/happy 78/neutral 230/sad 3/surprise 9/2024-01-19 00:28:28
angry 132/disgust 1/fear 46/happy 173/neutral 348/sad 232/surprise 26/2024-01-19 09:11:03
angry 85/disgust 1/fear 53/happy 197/neutral 609/sad 347/surprise 46/2024-01-19 09:15:30
angry 53/disgust 1/fear 65/happy 108/neutral 94/sad 245/surprise 23/2024-01-19 09:37:08
angry 1/disgust 1/fear 1/happy 3/neutral 1/sad 77/surprise 1/2024-01-19 09:44:30
angry 109/disgust 1/fear 10/happy 269/neutral 264/sad 149/surprise 10/2024-01-19 09:46:15
angry 4/disgust 1/fear 15/happy 121/neutral 77/sad 24/surprise 8/2024-01-19 09:47:06
angry 1/disgust 1/fear 25/happy 19/neutral 9/sad 139/surprise 1/2024-01-19 10:01:38
angry 1/disgust 1/fear 1/happy 10/neutral 4/sad 49/surprise 1/2024-01-19 10:02:14
angry 68/disgust 1/fear 20/happy 13/neutral 67/sad 63/surprise 3/2024-01-19 10:37:09
angry 1/disgust 1/fear 18/happy 178/neutral 50/sad 265/surprise 1/2024-01-19 10:39:34
angry 2/disgust 1/fear 1/happy 27/neutral 18/sad 23/surprise 1/2024-01-19 10:41:26
angry 1/disgust 1/fear 1/happy 2/neutral 21/sad 95/surprise 1/2024-01-19 10:45:42
angry 8/disgust 1/fear 42/happy 81/neutral 55/sad 35/surprise 4/2024-01-30 01:02:02
angry 48/disgust 1/fear 42/happy 185/neutral 260/sad 38/surprise 62/2024-01-30 01:04:30
angry 1/disgust 1/fear 17/happy 192/neutral 376/sad 63/surprise 22/2024-03-04 01:57:29
angry 1/disgust 1/fear 4/happy 39/neutral 68/sad 12/surprise 4/2024-03-20 03:35:23
angry 1/disgust 1/fear 1/happy 5/neutral 9/sad 1/surprise 1/2024-03-20 03:36:12
angry 1/disgust 1/fear 1/happy 1/neutral 9/sad 1/surprise 1/2024-03-20 03:37:04
angry 1/disgust 1/fear 32/happy 177/neutral 481/sad 41/surprise 40/2024-03-20 05:23:48
angry 1/disgust 1/fear 28/happy 147/neutral 289/sad 80/surprise 40/2024-03-25 01:26:00
angry 13/disgust 1/fear 4/happy 186/neutral 335/sad 232/surprise 23/2024-03-25 17:20:55
angry 30/disgust 1/fear 39/happy 275/neutral 759/sad 56/surprise 22/2024-03-25 17:56:35
angry 133/disgust 1/fear 22/happy 462/neutral 471/sad 36/surprise 2/2024-03-26 04:51:16
angry 1/disgust 1/fear 1/happy 8/neutral 22/sad 1/surprise 1/2024-03-26 15:35:13
angry 1/disgust 1/fear 1/happy 4/neutral 4/sad 1/surprise 1/2024-03-26 15:56:15
angry 1/disgust 1/fear 1/happy 3/neutral 7/sad 1/surprise 1/2024-03-26 17:01:20
angry 1/disgust 1/fear 4/happy 22/neutral 10/sad 7/surprise 1/2024-03-26 17:04:25
angry 105/disgust 1/fear 220/happy 184/neutral 646/sad 105/surprise 1/2024-03-26 17:15:08
angry 1/disgust 1/fear 9/happy 35/neutral 116/sad 9/surprise 1/2024-03-26 17:52:28
angry 2/disgust 1/fear 1/happy 1/neutral 12/sad 7/surprise 1/2024-03-26 17:55:57
angry 2/disgust 1/fear 12/happy 12/neutral 47/sad 3/surprise 1/2024-03-26 17:58:46
angry 1/disgust 1/fear 1/happy 1/neutral 13/sad 1/surprise 1/2024-03-26 18:09:53
angry 8/disgust 1/fear 31/happy 15/neutral 46/sad 20/surprise 1/2024-03-26 18:16:30
angry 1/disgust 1/fear 1/happy 1/neutral 16/sad 3/surprise 1/2024-03-26 18:18:26
angry 35/disgust 1/fear 171/happy 13/neutral 287/sad 41/surprise 1/2024-03-26 18:19:38
angry 1/disgust 1/fear 2/happy 1/neutral 3/sad 1/surprise 1/2024-03-26 18:20:06
angry 1/disgust 1/fear 24/happy 1/neutral 107/sad 2/surprise 1/2024-03-26 18:22:34
angry 217/disgust 1/fear 30/happy 201/neutral 293/sad 191/surprise 1/2024-03-26 18:40:51
angry 16/disgust 1/fear 53/happy 91/neutral 258/sad 58/surprise 31/2024-03-26 18:47:41
angry 1/disgust 1/fear 2/happy 24/neutral 54/sad 5/surprise 1/2024-03-26 18:53:17
angry 4/disgust 1/fear 5/happy 36/neutral 115/sad 1/surprise 1/2024-03-26 18:58:20
angry 11/disgust 1/fear 1/happy 17/neutral 105/sad 39/surprise 1/2024-03-26 18:59:16
angry 1/disgust 1/fear 1/happy 1/neutral 234/sad 1/surprise 1/2024-03-26 19:04:18
angry 1/disgust 1/fear 1/happy 22/neutral 61/sad 2/surprise 1/2024-03-26 19:06:03
angry 1/disgust 1/fear 1/happy 22/neutral 10/sad 4/surprise 1/2024-03-26 20:22:14
angry 2/disgust 1/fear 3/happy 40/neutral 209/sad 4/surprise 1/2024-03-26 20:26:16
angry 37/disgust 1/fear 28/happy 143/neutral 327/sad 84/surprise 1/2024-03-26 20:27:25
angry 1/disgust 1/fear 1/happy 15/neutral 59/sad 1/surprise 1/2024-03-26 20:30:37
angry 67/disgust 1/fear 34/happy 129/neutral 153/sad 159/surprise 1/2024-03-27 05:38:19
angry 1/disgust 1/fear 121/happy 14/neutral 340/sad 28/surprise 1/2024-03-27 05:39:14
angry 1/disgust 1/fear 34/happy 21/neutral 147/sad 95/surprise 1/2024-03-30 01:56:41
angry 1/disgust 1/fear 1/happy 38/neutral 223/sad 1/surprise 1/2024-03-31 00:58:55
angry 1/disgust 1/fear 1/happy 24/neutral 58/sad 1/surprise 1/2024-04-15 01:42:20
angry 1/disgust 1/fear 1/happy 27/neutral 57/sad 1/surprise 1/2024-04-15 01:42:52
angry 1/disgust 1/fear 27/happy 27/neutral 102/sad 1/surprise 1/2024-04-15 07:39:49
angry 1/disgust 1/fear 1/happy 3/neutral 36/sad 1/surprise 1/2024-04-15 07:45:21
angry 1/disgust 1/fear 25/happy 29/neutral 91/sad 1/surprise 1/2024-04-15 07:45:55
angry 1/disgust 1/fear 9/happy 2/neutral 15/sad 9/surprise 1/2024-04-15 07:56:20
angry 1/disgust 1/fear 15/happy 20/neutral 69/sad 1/surprise 1/2024-04-15 07:57:54
angry 1/disgust 59/fear 1/happy 1/neutral 1/sad 1/surprise 1/2024-04-15 08:39:47
angry 1/disgust 1/fear 1/happy 1/neutral 1/sad 1/surprise 1/2024-04-15 08:40:38
angry 1/disgust 1/fear 2/happy 4/neutral 35/sad 1/surprise 1/2024-04-15 08:41:27
angry 1/disgust 1/fear 3/happy 9/neutral 34/sad 1/surprise 1/2024-04-15 08:44:06
angry 6/disgust 1/fear 2/happy 21/neutral 285/sad 4/surprise 1/2024-04-15 08:44:53
angry 3/disgust 1/fear 20/happy 2/neutral 50/sad 33/surprise 1/2024-04-15 08:49:24
angry 6/disgust 1/fear 3/happy 1/neutral 25/sad 10/surprise 1/2024-04-15 09:02:29
angry 1/disgust 1/fear 2/happy 1/neutral 35/sad 2/surprise 1/2024-04-15 09:03:37
angry 1/disgust 1/fear 47/happy 1/neutral 123/sad 1/surprise 1/2024-04-15 09:15:21
angry 1/disgust 1/fear 19/happy 1/neutral 45/sad 1/surprise 1/2024-04-15 09:15:50
angry 2/disgust 1/fear 10/happy 1/neutral 49/sad 1/surprise 1/2024-04-15 09:16:41
angry 1/disgust 1/fear 7/happy 1/neutral 158/sad 1/surprise 1/2024-04-15 10:31:17
angry 32/disgust 1/fear 1/happy 1/neutral 204/sad 3/surprise 1/2024-04-15 10:32:38
angry 1/disgust 1/fear 38/happy 6/neutral 464/sad 1/surprise 1/2024-04-15 10:36:48
angry 1/disgust 1/fear 1/happy 1/neutral 2/sad 1/surprise 1/2024-04-15 10:39:31
angry 1/disgust 1/fear 1/happy 3/neutral 19/sad 1/surprise 1/2024-04-15 10:40:16
angry 1/disgust 1/fear 1/happy 1/neutral 19/sad 1/surprise 1/2024-04-15 10:41:56
angry 1/disgust 1/fear 1/happy 1/neutral 5/sad 1/surprise 1/2024-04-15 10:43:00
angry 1/disgust 1/fear 1/happy 1/neutral 14/sad 1/surprise 1/2024-04-15 10:44:42
angry 1/disgust 159/fear 2/happy 2/neutral 22/sad 1/surprise 1/2024-04-15 10:52:17
angry 1/disgust 29/fear 1/happy 1/neutral 7/sad 1/surprise 1/2024-04-15 10:56:02
angry 1/disgust 1/fear 3/happy 6/neutral 53/sad 2/surprise 1/2024-04-15 11:10:42
angry 1/disgust 1/fear 2/happy 9/neutral 51/sad 1/surprise 7/2024-04-15 11:13:22
angry 1/disgust 1/fear 1/happy 1/neutral 13/sad 1/surprise 1/2024-04-15 11:19:59
angry 1/disgust 1/fear 1/happy 1/neutral 12/sad 1/surprise 1/2024-04-15 11:23:52
angry 1/disgust 1/fear 1/happy 1/neutral 1/sad 1/surprise 1/2024-04-15 11:24:56
angry 1/disgust 1/fear 1/happy 2/neutral 17/sad 1/surprise 1/2024-04-15 11:25:53
angry 1/disgust 1/fear 3/happy 4/neutral 24/sad 1/surprise 1/2024-04-15 11:26:55
angry 1/disgust 1/fear 2/happy 1/neutral 31/sad 1/surprise 1/2024-04-15 11:27:40
angry 1/disgust 1/fear 2/happy 1/neutral 5/sad 1/surprise 1/2024-04-15 12:13:37
angry 1/disgust 1/fear 3/happy 1/neutral 38/sad 1/surprise 1/2024-04-15 12:17:09
angry 3/disgust 1/fear 4/happy 5/neutral 21/sad 1/surprise 1/2024-04-15 12:18:45
angry 1/disgust 1/fear 1/happy 2/neutral 10/sad 1/surprise 1/2024-04-15 12:22:37
